#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260813    16:17:15       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:17:25       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:17:35       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:17:45       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:17:55       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:18:05       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:18:15       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:18:25       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:18:35       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:18:45       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:18:55       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:19:05       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:19:15       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:19:25       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:19:35       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:19:45       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:19:55       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:20:05       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:20:15       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:20:25       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:20:35       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:20:45       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:20:55       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:21:05       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:21:15       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:21:25       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:21:35       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:21:45       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:21:55       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:22:05       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:22:15       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:22:25       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:22:35       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:22:45       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:22:55       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:23:05       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:23:15       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:23:25       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:23:36       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:23:46       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:23:56       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:24:06       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:24:16       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:24:26       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260813    16:24:36       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:24:46       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
