#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260813    15:45:45       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:45:55       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:46:05       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:46:15       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:46:25       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:46:35       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:46:45       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:46:55       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:47:05       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:47:15       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:47:25       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:47:35       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:47:45       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:47:55       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:48:05       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:48:15       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:48:25       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:48:35       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:48:45       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:48:55       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260813    15:49:05       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:49:15       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:49:25       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:49:35       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:49:45       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:49:55       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:50:05       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:50:15       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:50:25       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:50:35       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:50:45       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:50:55       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:51:05       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:51:15       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:51:25       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:51:35       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:51:45       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:51:55       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:52:05       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:52:15       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:52:25       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:52:36       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:52:46       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:52:56       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:53:06       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:53:16       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:53:26       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:53:36       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:53:46       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:53:56       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:54:06       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:54:16       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:54:26       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:54:36       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:54:46       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:54:56       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:55:06       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:55:16       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:55:26       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:55:36       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:55:46       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:55:56       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:56:06       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:56:16       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260813    15:56:26       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:56:36       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:56:46       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:56:56       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:57:06       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:57:16       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:57:26       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:57:36       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:57:46       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:57:56       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:58:06       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:58:16       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:58:26       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:58:36       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:58:46       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:58:56       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:59:06       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:59:16       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:59:26       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:59:36       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:59:46       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    15:59:56       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
