#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260813    16:37:32       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:37:42       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:37:52       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:38:02       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:38:12       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:38:22       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:38:32       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:38:42       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:38:52       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:39:02       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:39:12       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:39:22       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:39:32       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:39:43       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:39:53       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:40:03       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:40:13       1     56     28     46      0      0      0      0      0      0   1593    210      3      2      0 
 20260813    16:40:23       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:40:33       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:40:43       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:40:53       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:41:03       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:41:13       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:41:23       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:41:33       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:41:43       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:41:53       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:42:03       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:42:13       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:42:23       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:42:33       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:42:43       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:42:53       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:43:03       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:43:13       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:43:23       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:43:33       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:43:43       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:43:53       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:44:03       1     56     27     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:44:13       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:44:23       1     56     28     45      0      0      0      0      0      0   1593    210      3      2      0 
 20260813    16:44:33       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:44:43       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260813    16:44:53       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:45:03       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:45:13       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:45:23       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:45:33       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:45:43       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:45:53       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:46:03       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:46:13       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:46:23       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:46:33       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:46:43       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:46:53       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:47:03       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:47:13       1     56     28     46      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:47:23       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:47:33       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:47:43       1     56     28     47      0      0      0      0      0      0   1593    210      0      1      0 
 20260813    16:47:53       1     56     28     45      0      0      0      0      0      0   1593    210      0      1      0 
